text,Valence_Mean,Arousal_Mean,Valence_SD,Arousal_SD
从我眼前除掉你们的恶行,5.0,6.333,1.414,0.943
除了在全港不同地方设立辐射监测站,5.333,2.667,0.471,0.471
台北桥上的机车道,5.0,2.6,0.0,1.625
右半边的的刮痕做得很逼真很有味道,6.0,6.0,0.0,0.816
有啥资格嘲笑俄爹,3.0,7.25,0.707,0.433
现在前田不知所措地跑来向我求救,4.0,4.667,0.707,0.471
不用再看那些刺眼睛的文字,6.4,4.25,0.49,0.829
总目标是高雄要发财,6.333,4.0,0.471,2.16
限制可出租日数,4.667,2.667,0.471,1.7
流氓行径造反训练的,4.0,3.0,0.0,0.0
澳洲无处不成风景,6.333,5.333,0.471,0.471
许多破败的渔村与乡镇充满了海洛因成瘾者,2.6,5.5,0.49,1.118
精选百听不厌西洋情歌,6.6,6.0,0.49,1.225
不然只能用暗示的,4.0,3.333,0.0,1.247
而家揾紧适当时候去做电疗,5.6,4.0,0.49,2.0
这样的逆向淘汰就造成台湾政治的格局越来越小,3.0,5.75,0.0,1.09
一方强势另一方关怀,5.4,3.2,0.49,1.833
以上团体皆已破产,3.0,3.8,0.0,1.939
表示忧虑及关注,6.0,7.0,0.0,0.0
会加深社会矛盾,3.0,5.0,0.0,1.414
毕竟给国人信心也是一国吉祥物的工作,6.0,5.25,0.894,0.829
虽然是个到处犯错的白痴,4.667,5.667,1.247,0.943
一定令人热泪盈眶,6.0,7.667,0.0,0.943
而自己心生怨恨,3.0,5.0,0.0,2.0
不知道当年他们是怎么把校歌写得这样简洁,6.0,5.0,0.0,0.0
让遗眷备感温馨,7.0,3.5,0.0,1.118
我为太关注自己生命而羞耻,3.0,6.25,0.707,0.433
我不爽的是我感觉冷了,2.75,5.667,1.299,0.471
和高通起诉苹果的套路一样,4.5,5.25,0.5,0.433
那跟希本人的意志无关,5.0,5.75,0.0,1.09
而是这个国家的大方向已经转变,5.0,2.0,0.0,0.0
债务还有27,4.0,3.0,0.0,1.414
如果欧巴马即将执政的时候冒出一个他妈妈跟普丁生的私生子,4.0,5.333,0.816,0.471
从0到100亿的创业黄金公式,6.4,4.2,0.49,1.47
郑伊廷不讲信用,3.25,5.5,0.829,1.118
而中共利用这国耻巧妙的将民众怨气调离八九六四十周年,4.0,3.75,0.0,0.829
但他知道喜剧演员与丑角是不一样的吗,4.75,5.75,0.433,0.829
维护自己的尊严,6.0,3.75,0.707,1.785
财产被法西斯独裁习,3.667,6.0,0.471,0.0
非常下流无耻危害世界安全,2.5,8.0,0.5,0.707
郭文贵的态度已经很明确了,5.0,6.333,0.0,0.471
你暗中勾结郭妖迟早会曝光的,2.5,5.8,0.5,1.939
回个帖还躲躲藏藏在别人推下,3.5,4.5,0.5,0.5
曰自力更生更可靠,6.25,6.0,0.433,1.0
没什么不敢撒谎,4.333,5.5,0.471,1.118
老子脾气火的很,3.0,8.25,0.0,0.829
清明生日也是4,5.0,2.667,0.0,1.247
十年前的喷词比现在还儒雅随和,5.333,4.333,1.247,0.471
中国人反过来要抵制鸿海你怎敢,3.0,6.667,0.0,0.471
看电影拿会制造噪音的零食,3.4,5.0,0.49,0.0
能不能不要把自己智商低落的事情展露的一览无遗啊,2.5,8.25,0.5,0.829
这几个作秀都很突兀,3.5,5.5,0.5,0.5
这是为了之后要拯救中国,6.0,6.0,0.0,0.0
预言有提到中国拆教会和虐待信徒的报应吗,3.0,5.0,0.0,2.0
怎么会举著侵略国的旗子,4.0,5.333,0.0,0.471
发烧都烧了三天了还说是一般感冒,3.0,7.333,0.707,0.471
影片为乡下的热情鸡鸡,6.667,6.0,0.471,0.816
然后大家都慌张成智障,3.5,6.667,0.5,0.471
都拿来咀嚼感慨,3.667,5.5,0.471,1.118
啊呸呸呸呸呸呸,3.0,8.75,0.0,0.433
还有有名的人上电视替它们宣传,6.0,6.0,1.0,0.816
她跟我讲了一些令人作呕的餐馆幕后事,3.0,5.667,0.816,2.055
其言语刻薄恶毒,3.0,4.667,0.707,0.471
调戏妇女挑逗年轻女性,3.25,5.0,0.433,0.0
出于善意真恶心,2.6,6.0,0.49,0.707
当时我震惊了10秒,4.5,7.0,0.5,0.0
小龙虾养殖基地梦破灭,3.0,6.25,0.0,0.433
就你这德行还台湾优先,3.5,7.25,0.5,0.829
京都人不堪其扰突显全球观光城镇的美丽与哀愁,3.333,4.333,0.471,0.471
请你蛮横地加入,5.25,6.2,0.433,1.47
还轮得到他们一天到晚在网上放屁,3.0,7.5,0.0,0.5
怎么不说高盛的腐败,3.667,5.0,0.943,2.16
中国农业有多落后你说来听听起,3.5,6.667,0.5,0.471
你们是中国最没良心的混蛋,2.0,8.0,0.0,0.707
不如说是犯罪的天堂,3.25,5.5,0.829,0.866
美国政府只是像养狗一样放纵他们撕咬自己曾经的祖国,2.5,6.5,0.5,0.5
可别再冒充基督徒了,3.75,6.25,0.433,0.829
基督徒的名声会让你这种牲人败坏的,3.0,8.0,0.0,0.816
中国人以这种朴素的价值观,5.333,3.0,1.7,1.414
大家说谁是混蛋王八蛋,2.6,6.75,0.49,0.433
毕业于知青劳改队的文盲习近平,3.75,5.0,0.433,1.225
怎能开赌场却放任大家投注到八点,3.0,7.0,0.0,0.0
那也犯不著给他们到处游走找借口,3.4,6.5,0.49,0.5
不再拿来轰个几次才是笨蛋,4.0,7.0,0.707,0.0
沦为支那的一部分,3.333,5.667,0.471,2.055
她逃亡到过10年追诉期,5.0,3.0,1.0,2.0
不像信义区统一时代分店全部都有,4.333,5.0,0.471,0.816
我说过我不会流泪,5.25,7.5,1.785,1.118
用他们压榨别人回来的钱捐款甚至资助新创,4.4,6.0,1.744,0.0
说要拓宽的是没远见的草包,2.333,6.0,1.247,2.449
感觉我是不是再次迟钝了,3.6,5.25,0.49,0.829
又迟到了!!!!!!!!!,3.5,8.0,0.5,0.894
谎言连篇倒是第一!,3.0,7.75,0.0,0.829
分割槽表型别呢,5.0,4.333,0.0,0.943
至于我那些仇敌,4.0,5.2,0.0,2.227
但我人真的很手贱,3.6,6.25,0.49,0.829
把人家的孩子送进监狱,3.0,2.333,0.707,0.471
这几年这厮一直不遗余力地诋毁李文足,3.0,6.25,0.0,0.829
当时英国出来调停,5.0,2.75,0.0,1.785
荡妇一边和老公通电话,3.0,6.333,0.0,0.471
和伪造的反犹太主义传教士和武器人,3.667,4.333,1.247,2.357
然后自己判断为什么种族主义者丹尼贝克获得了一张免费通行证或者这些可憎的母亲为他提供的蹩脚的借口,4.0,4.0,0.0,0.0
还不知道这是会让人很不舒服的吗,3.333,6.333,0.471,0.471
幼儿又开始发烧,4.0,5.5,0.0,0.5
先是当了大坏蛋舅舅,3.6,4.8,0.49,1.939
我跟弟弟很生气,3.0,7.5,0.0,1.118
这回贸易战会牺牲很多无辜者,3.0,5.2,0.0,0.98
世界上最可笑的就是像你这种靠共产党发的五毛养活,2.5,8.75,0.5,0.433
火气大了不起是不是,2.5,8.0,0.5,0.707
这是台湾最低阶的小旅馆,4.5,5.0,0.5,1.0
为一个上台4年一事无成的婊子喝彩,3.0,5.667,0.707,0.471
总是选择陷阱让自己跳,3.0,3.333,0.0,1.886
而高通牢牢把握了3,5.0,4.0,0.0,2.121
但是在欺诈作弊上可是老手,3.333,6.0,0.471,2.16
不排除天朝和他同谋,4.0,4.0,0.0,0.0
蔡英文自己就是专制,3.5,7.0,0.5,0.816
板中最近发起的男裙周因为在高中校园中还算是崭新的活动,6.5,4.2,0.5,1.939
他是不是大脑萎缩,3.667,5.333,0.943,0.471
今天刷推很踊跃的样子,6.6,6.0,0.49,1.414
比起聊著时事八卦,6.0,4.0,0.0,0.0
贫道首创的捏虫龙爪手,5.5,5.5,0.5,1.5
称威廉出轨杂志,4.333,5.0,0.471,0.0
总是非常滑稽且激烈的进行,4.8,7.5,0.98,0.5
老郭一直以获取美国政庇为首要目标,3.5,4.5,1.5,3.5
在一片哗众取宠中继续编造虚假档案,2.0,5.333,0.707,0.471
你可以不惜信誉和成本替他人继续造谣污蔑,3.333,5.333,0.471,1.247
总觉得这年头光天化日下会看到的几乎都是无关紧要的私事被三流媒体扒粪,3.333,6.0,0.471,0.816
总给我讲她们学校的阴暗面,4.0,4.667,0.0,0.471
考验我军必胜的决心,6.0,8.0,0.0,1.0
白宫是小喇叭下达命令的指挥中心,5.0,3.0,0.0,0.707
关注切断电话已,4.6,2.25,0.49,1.299
当值犹太裔恶人,3.0,5.0,0.0,1.0
太平天国王亲自座镇支援孙膑和刘伯温和神国中情局天使们用尽所有方法仍然无法开通,4.0,4.333,0.816,1.247
离扣扣二审判决就过去一个月了,5.0,2.0,0.0,1.0
我可没有反驳你说的问题,4.5,6.5,0.5,0.5
但是我没有?电梯抽烟道德阿,3.333,6.5,0.943,0.5
可是台湾人说这种话真的完全没法不赞成,4.5,6.5,1.5,0.5
不给最后的答案难道要盲目跟媒体风向,3.5,7.0,0.5,0.0
感觉酒醉之后才是真话,5.0,4.667,0.707,0.471
三度提出司法请求与会商要求,5.0,3.333,0.0,0.471
坊间建议不可行,4.333,4.0,0.471,0.707
声誉卓著的众多资深大律师,6.5,5.333,0.5,0.471
下属在不加思考分析下只懂附和奉承上司,3.0,5.0,0.0,0.0
我是不是不该让老师寂寞继续去,4.0,5.5,0.0,1.118
村里人称陈光诚相当倔强,5.0,4.0,1.414,2.16
在加上台湾一面倒向美国,4.0,3.667,0.816,0.471
我来日本以后从来不跟支那人交往,3.333,5.667,0.471,0.471
最重要的不是甜言蜜语,6.0,5.0,1.0,0.0
冻结没收美国在华资产,3.667,4.333,0.471,0.943
宋专门写了一封电报给蒋经国,5.0,3.5,0.0,1.5
让中共迅速壮大,4.0,4.0,0.707,2.55
你尽可安心与他同行,7.0,4.5,0.0,0.5
还有他是美人鱼,5.6,3.6,0.49,2.154
内心其实瞧不起,4.0,5.5,0.0,2.5
说明你真是一个烂货,2.4,7.5,0.49,0.5
手脚指都发炎了,3.4,4.5,0.49,0.5
由于在中国没有建立统一完善宪政体制导致为了政权,3.667,5.333,0.471,0.471
势力冲突而上演了空前历史悲剧,2.4,7.0,0.49,1.225
她的东西经常被毁坏,3.75,3.6,0.433,1.855
他们两边都受骗,3.2,5.0,0.98,0.707
把学生们训练成考试机器,3.0,4.0,0.707,1.414
抑郁症也是精神病,5.0,4.0,0.0,0.0
总是在处于一定不明确的担忧,3.333,4.667,0.471,1.886
多是政治投机犯,3.0,3.333,0.0,0.943
残酷的党内权力斗争,3.0,7.0,0.707,0.0
不必因缺钱而被驱逐,7.0,5.333,0.0,0.471
使她们在任何时候都能免于恐惧,6.333,5.333,0.471,0.471
如果你真的英明神武,4.333,6.0,0.471,0.0
当你们当中的感言者被关押酷刑时,3.5,4.0,0.5,1.0
让生活更便利一点的小物,6.0,5.0,0.0,0.0
促成故事的分别在这里,5.0,3.667,0.0,1.7
完全呈现当代关系的各种微妙观察,5.6,5.5,0.49,1.118
各种偏执与需要被照顾到的情绪都有了清楚的面向,6.5,4.5,0.5,0.5
婚姻平权的战斗,5.0,5.0,0.0,2.739
容许法庭严惩释出假新闻或资讯的个人及网路平台,5.5,5.333,1.118,0.471
他们试图将狭隘的,5.667,3.25,0.471,1.92
更不见有任何才智足堪替,3.6,4.25,0.49,1.299
胡锦涛去到哪就追到哪誓为李旺阳讨回真相,5.0,5.0,0.0,2.757
这样房价会下跌,5.0,5.0,1.0,1.0
连掩饰都不掩饰,3.333,6.0,0.471,1.633
是她的花招变更花俏,5.5,5.333,1.118,0.471
又要去看赞助孩子的才艺表演,5.5,5.667,1.118,0.471
说彭暴露了共畜主力,4.667,2.667,0.471,0.943
把日军的进攻引到了共畜区,5.5,6.5,0.5,1.5
鼓动他人做烈士是居心叵测的,3.0,7.0,0.0,1.581
生孩子就有责任养育教育,6.0,4.0,0.0,2.449
川普挖苦奥巴马,3.333,4.0,1.7,2.16
将钥匙托付给在新疆关押上百万穆斯林维吾尔人却毫无悔意的政权,2.6,5.75,0.49,1.09
绝不承担法律责任,5.0,5.75,0.0,2.861
万一中美谈判破裂,3.5,5.5,0.5,0.866
只是标准作业程式北韩在4日及9日二度无预警发射不明飞行物,3.6,5.0,0.49,2.0
即使美国把中国产品的关税全部提升到1,4.333,6.0,0.471,1.633
普选给予人民选择的基本权利,7.0,5.25,0.0,0.433
台面上争吵不断的各国领导人,3.0,4.0,0.0,0.0
所有纷争都能迎刃而解,7.0,5.75,0.0,0.433
吵架也是一种沟通,6.0,5.0,0.707,0.0
4成苏格兰保守党选民,5.0,1.333,0.0,0.471
你就开始新一轮的论战,5.0,4.0,0.707,2.55
不是给大家当休闲娱乐的,3.25,5.5,0.433,1.118
其次要摈除政治文明中的党文化的谩骂攻击,4.0,5.25,0.707,1.479
她@边指责一边清扫,4.0,5.5,0.0,0.5
究竟是否真的算是影史票房冠军,5.0,5.667,0.816,0.471
我宁可花时间去游说华脑,4.5,5.25,0.5,1.299
可以查到网站所有权已属于基金会,5.0,2.0,0.0,0.707
1说是制度悲哀1说是人悲哀,4.0,4.667,0.816,0.471
这什么奇妙的展开,6.0,6.5,0.0,0.866
不知道谴责刽子手,3.6,5.25,0.49,0.829
预算软硬体建设等内政,5.0,2.5,0.0,1.118
形象吹的神勇无敌,5.0,5.0,1.0,0.0
一般人不易听懂,4.5,5.0,0.5,0.0
站街的妓女看谁都是出来卖的,2.5,6.0,0.5,1.0
那么高尚的是王,6.75,5.0,0.433,0.707
你是全世界最不龌龊的人,6.75,6.5,0.829,0.866
别拿出来丢人现眼了,3.0,6.667,0.816,0.471
嘴里没有一句话能让人信服,3.0,6.5,0.0,0.5
而是纯粹为了用自己的理论来讽刺,3.0,5.75,0.0,1.639
一个万人唾弃的红色通缉犯和一个被边缘化的所谓,2.333,6.667,0.471,0.471
反而是老美假话都那么可信,3.75,5.25,0.433,0.829
中国移动赴美开展业务被美否决,4.0,4.0,0.0,1.0
感觉政策还是有些极端了,4.0,6.0,0.0,0.0
连朝代国号都混乱不堪,3.0,7.0,0.894,0.707
近视眼感觉受到了冒犯,3.333,5.667,1.247,1.7
我们会加以重视的,6.6,5.75,0.49,1.299
可能我不经意的一句话依然会刺伤他人,3.0,6.0,0.0,0.0
而在那些读书不少但学识不深的人看来,5.0,4.0,0.0,1.0
你翼望戏弄风吹,4.0,6.0,0.0,0.0
这本质上可能是厌世厌生,4.0,5.0,0.0,0.0
于社会伦理有悖,4.0,4.5,0.0,1.118
这是完全被剥夺了人权,2.75,7.2,0.433,1.6
也不会恶言相向,6.0,4.0,0.0,1.673
所谓拆除都是违建,4.5,5.0,0.5,2.0
已经快顶住高压线塔了么,4.5,4.0,0.5,2.121
一个被冤枉下狱的人,3.0,5.0,0.0,0.707
以迷信和乌托邦,4.0,4.0,0.0,1.0
即使是责备劝勉,4.5,6.0,0.5,0.0
有时他们骂得不中肯,4.0,5.0,0.816,0.816
是人体自动调节平衡所表现出的状态,5.0,3.667,0.0,0.471
天天咒骂就能灭绝的,4.0,7.5,0.0,1.118
你们如果不饶恕别人,4.5,7.5,0.5,0.5
可见庆丰太监们只敢背后黑屁和下体升级性骚扰以及迫真自杀,2.5,6.0,0.5,0.0
我们在陈述的是你国人事实行为,4.75,5.0,0.433,0.707
他忧心忡忡地说,3.333,5.333,0.471,1.7
而政治保卫部更有监视和暗杀手段,4.0,5.2,0.0,1.6
这是老天爷在处罚台湾人民吗,3.5,6.0,0.5,1.414
色戒的一个缺憾,3.25,2.5,0.433,1.118
开启一场美妙的约会,7.2,5.0,0.98,0.707
比小学生的智力都不如,2.5,7.333,0.5,0.943
兽医一直说叫我们不要逗弄他,4.5,6.667,1.118,1.247
常常听到的古典制约之类的,5.0,4.667,0.0,0.471
而且为什么尹寻的动作这么熟练啊,5.5,6.0,1.118,0.707
我过的怎样还轮不上你插嘴,3.0,6.333,0.0,0.471
我爸爸癌症确诊,3.25,5.2,0.433,2.04
我爷爷过世时我爸已经35岁了,5.0,1.667,0.0,0.943
只是做个适性测验怎么这么难,4.25,6.5,0.433,0.5
但其实我期望以前的自己再更努力,5.5,5.8,0.866,0.98
从国中知道他是台中人就觉得特别有亲切感,6.333,5.0,0.471,1.414
纯全可喜悦的旨意,7.0,6.333,0.0,1.247
尽情放肆尽情冲刺,6.75,6.4,0.433,1.744
我们何必苛责她,4.5,5.6,0.5,1.625
他富有我不觉得自己高攀,6.0,5.25,0.0,0.433
去遇见各种未知,6.5,5.75,0.5,1.09
被持枪抢劫130万女官员,3.0,5.0,0.816,2.449
阴谋驾机外逃集团,3.0,6.0,1.414,0.816
并且像他自己一样狂热和棘手纳粹,3.667,5.333,0.471,3.091
如果是我就玻璃心碎了,3.0,6.6,0.0,1.2
晚上一边过敏发作狂喷嚏一边洗婴儿屁股以及唱歌讲故事陪睡,4.0,5.333,0.0,0.471
还不是吝啬金钱,3.0,5.0,0.0,1.414
什么团体里都有没判断力的人,3.25,6.25,0.433,1.09
显然不可能化腐朽为神奇,4.0,4.6,0.0,1.2
就如同你信赖他吗,5.0,4.333,0.0,2.357
是真的能够撼动人心的,7.5,7.0,0.5,1.414
本周最令人印象深刻的一个概念,6.667,5.333,0.471,0.943
然而这些帖子非愚即恶却是不争的事实,3.0,6.0,0.0,0.707
美称马杜罗要流亡古巴,4.0,3.25,0.0,0.829
基本上任何涉及现实的文艺作品都能被粉蛆意淫歪曲,2.5,5.25,0.5,1.785
在豆瓣竟被拿来嘲弄日本,3.0,6.5,0.0,0.5
奴隶的祖辈一开始被奴役时,3.667,4.0,0.471,1.414
造假于一身的黑中药企业会不会走向它应有的末日,4.0,5.667,0.0,0.943
真是颠覆了我的三观,4.0,6.75,0.894,0.433
牠们才跪得心安理得,6.5,3.5,0.5,0.5
你的神精系统有故障吗,4.0,6.25,0.0,0.829
每个人都须要被宽恕,7.0,4.667,0.707,0.471
是上帝给我们最美的恩典,7.5,6.25,0.5,0.829
这是不恰当的讲道,3.4,5.5,0.49,1.118
同时持著刀笔次向被害人的心脏,3.0,3.75,0.0,1.299
狠心弃养自己的骨肉,2.6,6.0,0.49,0.894
还振振有词不知羞愧,3.0,7.0,0.0,0.707
也隆重邀约不同语言,6.5,4.5,0.5,0.5
消耗的卡路里都白费了,3.6,5.2,0.49,1.47
愿你照你的话怜悯我,3.333,5.0,0.471,2.16
虔诚无比的祷告无限,6.667,2.333,0.471,0.943
不了解他的性情,4.0,3.667,0.0,1.886
佛菩萨是最慈悲的,8.0,3.667,0.707,0.471
英国和美国共谋把色情视讯和教学视讯放在谷歌视讯档案里面,3.667,5.333,0.471,0.471
他为中国民主奋斗了一生,7.0,5.0,0.0,0.0
这些祝贺安拉的使者,6.333,4.667,0.471,0.943
其中仁慈会下降的月份,4.0,2.0,0.0,0.0
真的是太可恶了,3.0,6.25,0.0,0.829
可以照著永恒生命,6.0,4.333,0.0,0.471
都会看见盼望与价值,7.0,5.5,0.707,0.5
都是出于施舍者,4.5,4.5,0.5,0.5
从前是我太任性太不争气,3.0,6.5,0.0,1.118
两位主持人称得上是令人敬佩的基督徒,7.0,4.5,0.0,2.5
华文世界的人能活得这样体面,6.0,2.5,0.707,1.118
不一起庆生不代表我在你心中不重要,7.333,7.333,0.471,0.471
状况极差的我在床上昏沉的度过一整天,3.0,4.5,0.0,0.866
莲舫只会跟工作有关恩人,6.0,3.5,0.0,2.5
而且我很乐意给他们慈悲的最后一击,5.5,6.0,1.118,1.225
只是妳得设法忽视他背后那根情绪反应变化既强烈又明显的隐形尾巴,5.0,3.0,0.0,2.0
九份的旁支小巷就留待有空时自己独游品味吧,6.5,4.0,0.5,1.0
一切的一切都在适应中,5.333,3.5,0.471,2.598
原世界第八大奇迹,6.25,6.667,1.299,1.247
整排鞠躬倾斜的老房子,4.0,5.0,0.707,1.414
质朴踏实的邻家型,6.6,5.0,0.49,0.707
本大小姐一向和蔼可亲,7.0,5.75,0.0,1.299
恭喜你出道1000天了,7.0,6.333,1.414,0.471
我又要赞美泰国电影,6.75,5.0,0.829,0.707
他真的是万能的,8.333,5.5,0.471,1.118
也请霖粉们多多互助,7.0,6.0,0.707,0.0
或是闪光灯照出来效果总是让人吃惊,6.0,5.5,0.0,0.5
附十合一专业宠物清理配件组,6.0,4.0,0.0,1.0
放过一遍后再也找不到二次回味的欲望,3.0,5.5,0.0,0.5
靠著谐音恶趣味来命名的建案,4.333,4.0,0.471,0.816
原因归咎于只靠红色权贵基因库挑选,3.4,6.0,0.49,0.0
婚姻家庭制度本身就在瓦解中,3.6,5.0,0.49,0.707
唔会因为样衰而有??做唔到,5.5,3.5,0.5,2.5
整个官僚机制和国民内斗的齿轮咬合咬合,3.5,6.0,0.5,0.0
如果我们要清算他,4.0,6.333,0.816,0.471
要懂得在混沌中赋能自己,6.5,4.0,0.5,1.0
我看不懂把宗教理由推动的暴行,4.0,5.0,0.0,2.16
年民进党空前大挫败,3.0,6.5,0.0,0.866
支配与施暴的生活便随即展开,3.0,5.0,0.0,0.707
觉得还是要努力维持跟改善,6.667,5.333,0.471,0.471
譬如酒驾骑车摔水沟昏迷,4.0,4.0,0.0,0.0
原来我有受虐的倾向嘛,4.75,6.75,0.433,1.479
让台湾几乎倒退回数十年前的加工出口特区,3.0,5.0,0.707,0.0
一家旅店员工在客房发现三具尸体,3.0,4.0,0.0,2.0
和042的推特我能怎么办我也很绝望啊,3.0,6.0,0.816,2.16
我是百分百的深有同感,6.0,7.0,1.0,1.0
亚里斯多德为何会如此轻率做出老鼠是腐草生出来的,4.333,6.333,0.471,0.943
新的非人格化的父亲,5.0,4.333,1.633,0.943
北韩频试射武器全球70国敦促平壤弃核,4.667,6.333,1.247,1.7
庆富案录音档流出,4.5,5.5,0.5,1.5
而后颤抖著土下座道歉的我是今天的亮点,4.667,4.667,0.471,2.625
欢送台华奖毕业生,6.6,5.5,0.49,1.118
反而在空中小姐欢呼簇拥下登机,8.0,7.0,0.0,0.0
欢聚在一起赞美神,7.0,6.0,0.0,0.707
底比斯最强大的神圣兵团,6.5,6.25,0.5,1.299
九天玄女等神从而增进宿命论中的姻缘,6.0,4.0,0.707,0.816
如果我果断独自沉淀,4.333,3.667,0.471,2.494
蓝瓶乖乖听话水,5.5,4.5,0.5,1.118
老经理特别嘱咐要款待的美国青年和他神秘的英国恋人,6.0,5.0,0.0,1.414
这一次圣终于要开拓新地图前往王城之外的地方了,7.0,5.4,0.0,1.855
但圣和团长的互动真是缓慢得让人心焦急啊,3.5,6.5,0.5,0.866
是有什么疾病么,4.0,5.0,0.0,0.0
一方面说大陆压迫世界卫生组织,3.0,6.0,0.707,0.816
一方面又说台湾是国际赞誉的民主,5.4,3.8,1.2,1.6
这种女生的心思本来就无足轻重,4.333,5.333,0.471,1.247
这种阴影就可以用,5.4,3.6,0.49,2.059
为什么贴纸出入境泰国顺畅无比,4.5,5.5,0.5,0.5
凡得此症的人都以得病为荣,6.0,6.0,0.707,0.816
莫斯科制定作战计划,5.0,1.5,0.0,0.5
那是疑虑重重的时期,3.667,4.0,0.471,2.16
那是阳光普照的季节,7.0,4.5,0.0,0.866
就无所顾忌地开始胡闹,3.0,5.333,0.0,0.471
虽然知道砲口应该要朝向上级,4.6,5.0,0.49,0.707
台湾能存活下来只有靠灵活的外交,5.5,6.0,1.118,0.0
靠著间歇性断食跟不怎么碰含糖饮料,6.0,5.5,1.0,0.5
结果延期到下下下周了,3.25,5.4,0.433,1.2
这件裤子我把他挂在衣橱里当作警惕,4.75,4.2,0.829,2.315
为能捐献高质量,6.0,4.0,1.0,0.816
太真诚的表达内心,6.5,4.4,0.866,2.245
不过偶尔也是要让自己放松的噢,6.0,6.0,0.894,0.707
但是她的脸完全是纯天然的,7.0,5.5,0.707,0.5
甜美清新会聊天,6.333,2.333,1.247,1.886
只有没有钱跟赚不到钱跟很小气的男森才会说人家拜金女,3.667,7.0,0.471,0.0
一旦中共霸占台湾,2.333,5.0,0.471,1.414
最多只能享有动物权,5.75,4.75,0.433,0.829
此举非常不明智,2.5,4.667,0.5,0.943
而不是伸手要福利,3.5,5.5,0.5,0.5
郭文贵的奇葩言论不仅一再让华人寒心,3.4,5.5,0.49,0.866
在任意500米上突破后,6.0,4.333,0.0,2.494
除非生活遭到重大的变故才会中断,3.0,4.5,0.0,2.5
母亲为了孩子可以不顾一切,6.5,7.0,0.5,1.225
从追猫的勇猛来看,6.5,4.667,0.5,0.471
其实就一神经病,3.0,7.0,0.0,0.707
冻结龚仁心等四人职务,3.667,3.333,0.471,1.7
这不是信仰而是亵渎神灵,3.0,6.75,0.0,0.829
看看这精美滴握手,7.0,4.75,0.0,0.433
瑞岩溪野生动物重要栖息环境,5.333,2.667,0.471,1.7
香港人要全部出来抗争,5.5,6.0,1.118,0.816
摆出忠孝仁义和,4.5,6.0,0.5,0.707
你们的女神林昭能激励你们什么,3.75,6.5,0.829,1.5
这样的人怎能被小恩小惠收买,3.6,5.75,0.49,0.433
于是我们看到生育率下降,3.5,4.0,0.5,0.0
不肖子孙谈不上心理素质,2.667,7.333,0.943,1.7
但是之后又会很内疚,3.667,5.667,0.471,1.247
后徐被军法处置后,4.6,3.8,0.49,0.98
又何必苦苦自责,3.75,5.5,0.433,0.5
才是造成你目前窘迫阴郁懊悔心态的原因,3.333,5.667,0.471,0.471
眼泪还是止不住,4.25,6.0,0.829,1.581
应该也影响到了公司的名声,3.6,6.0,0.49,0.0
虐童案引全台公愤,2.5,7.5,0.5,1.5
论述周代的官样文章和文网严密,5.0,3.0,0.0,1.414
八九个月了还不会自主入睡,4.0,5.0,0.0,0.894
结果丈母娘跑来干涉,3.6,5.5,0.49,0.5
回答问题说话有点分心,4.0,3.25,0.0,0.829
开始将资产分散转移,5.0,3.0,0.707,2.0
醒来嗓子紧绷吐痰是黄红色的,4.667,4.0,0.471,1.581
巴基斯坦一五星级酒店遭武装突袭,3.0,3.75,0.894,0.829
某派主张压制某派,4.5,5.5,0.5,0.5
双普通电话并非突发事件,4.333,4.333,0.471,2.357
加上武力悬殊太大,4.667,3.25,0.471,1.785
换勾引肌肉直男原创的私信我就可以,6.0,6.0,1.0,1.0
看来我得再自我审查一下措辞,4.333,3.0,0.471,1.414
人家是及时行乐他们是及时多讲两句闲话,3.0,6.0,0.0,0.0
但令我心动的是他看我的眼神,6.0,7.0,0.0,0.816
虽然我无视他的最后通牒,4.4,2.75,0.49,1.299
中国人将成为世界上最悲惨的奴隶,3.0,5.75,0.707,0.433
由自己一手创立的世界贸易规则,6.0,5.667,0.0,0.471
为了防止偏听偏信,5.667,3.667,0.471,1.247
而送中国人渗透,3.5,5.5,0.5,1.118
因为野蛮人有自动过滤文明人功能,3.5,5.25,0.5,0.829
没有加倍的勤奋,4.0,4.25,0.0,0.829
所以毛也是最为诡计多端的,4.0,6.333,0.0,0.471
自己要送异性恋先淘气的业余女孩,5.667,4.0,0.471,2.16
与那些写快餐网文出名的所谓少年作家相比,4.0,7.0,1.0,0.0
还要在此基础上加强司法协助,5.5,4.5,0.5,2.5
能做你爹的还不够高贵,3.4,6.2,0.49,0.98
潜伏在皖南的山村水廓间,6.0,2.0,1.0,1.0
当然天资会影响成效,4.5,5.25,0.5,0.433
一路走来虽没有因而带来助益,5.333,2.333,0.471,1.247
我能报答的礼物,6.0,3.0,0.0,1.414
权的演技又磨练了不少收放自如,6.25,4.4,0.433,1.744
激动处青筋爆现,5.0,5.75,0.0,1.92
手掬一束白色波斯菊贴于平坦的胸前,5.0,2.0,0.0,0.0
这是营运在引诱我钻抽的陷井,3.333,5.0,0.471,0.816
张会感染全世界,4.75,5.75,0.433,0.829
完全不顾形象的跟哭给你们看是吗,3.333,6.333,0.471,0.943
西格玛那张脸看起来真的不像反派,5.0,3.667,0.816,1.7
这个照片看了心酸酸,2.75,5.0,0.433,0.707
那简直一文不值,2.333,7.333,0.471,0.943
